fantasy_player_id,player_first_name,player_last_name,nba_player_id
410.p.5646,Juancho,Hernangómez,1627823.0
410.p.5650,Malik,Beasley,1627736.0
410.p.5651,Caris,LeVert,1627747.0
410.p.5652,DeAndre',Bembry,1627761.0
410.p.5655,Timothé,Luwawu-Cabarrot,1627789.0
410.p.5657,Furkan,Korkmaz,1627788.0
410.p.5658,Pascal,Siakam,1627783.0
410.p.5660,Dejounte,Murray,1627749.0
410.p.5661,Damian,Jones,1627745.0
410.p.5663,Ivica,Zubac,1627826.0
410.p.5664,Cheick,Diallo,1627767.0
410.p.5667,Malcolm,Brogdon,1627763.0
410.p.5669,Patrick,McCaw,1627775.0
410.p.5678,Jake,Layman,1627774.0
410.p.5681,Georges,Niang,1627777.0
410.p.5684,Petr,Cornelie,1627822.0
410.p.5689,Abdel,Nader,1627846.0
410.p.5693,Dorian,Finney-Smith,1627827.0
410.p.5695,Ryan,Arcidiacono,1627853.0
410.p.5706,Chasson,Randle,1626184.0
410.p.5708,Wayne,Selden Jr.,1627782.0
410.p.5720,Yogi,Ferrell,1627812.0
410.p.5726,Bryn,Forbes,1627854.0
410.p.5727,Fred,VanVleet,1627832.0
410.p.5728,Danuel,House Jr.,1627863.0
410.p.5733,Damion,Lee,1627814.0
410.p.5739,Gary,Payton II,1627780.0
410.p.5746,Shaquille,Harrison,1627885.0
410.p.5747,Derrick,Jones Jr.,1627884.0
410.p.5754,Alex,Caruso,1627936.0
410.p.5762,David,Nwaba,1628021.0
410.p.5763,Markelle,Fultz,1628365.0
410.p.5764,Lonzo,Ball,1628366.0
410.p.5765,Jayson,Tatum,1628369.0
410.p.5766,Josh,Jackson,1628367.0
410.p.5767,De'Aaron,Fox,1628368.0
410.p.5768,Jonathan,Isaac,1628371.0
410.p.5769,Lauri,Markkanen,1628374.0
410.p.5821,Frank,Ntilikina,1628373.0
410.p.5822,Dennis,Smith Jr.,1628372.0
410.p.5823,Zach,Collins,1628380.0
410.p.5824,Malik,Monk,1628370.0
410.p.5825,Luke,Kennard,1628379.0
410.p.5826,Donovan,Mitchell,1628378.0
410.p.5827,Bam,Adebayo,1628389.0
410.p.5828,Justin,Jackson,1628382.0
410.p.5829,Justin,Patton,1628383.0
410.p.5830,D.J.,Wilson,1628391.0
410.p.5831,TJ,Leaf,1628388.0
410.p.5832,John,Collins,1628381.0
410.p.5833,Harry,Giles III,1628385.0
410.p.5834,Terrance,Ferguson,1628390.0
410.p.5835,Jarrett,Allen,1628386.0
410.p.5836,OG,Anunoby,1628384.0
410.p.5838,Anzejs,Pasecniks,1628394.0
410.p.5839,Caleb,Swanigan,1628403.0
410.p.5840,Kyle,Kuzma,1628398.0
410.p.5841,Tony,Bradley,1628396.0
410.p.5842,Derrick,White,1628401.0
410.p.5843,Josh,Hart,1628404.0
410.p.5844,Frank,Jackson,1628402.0
410.p.5845,Davon,Reed,1628432.0
410.p.5846,Wes,Iwundu,1628411.0
410.p.5847,Frank,Mason III,1628412.0
410.p.5849,Jonah,Bolden,1628413.0
410.p.5850,Semi,Ojeleye,1628400.0
410.p.5851,Jordan,Bell,1628395.0
410.p.5853,Dwayne,Bacon,1628407.0
410.p.5855,Thomas,Bryant,1628418.0
410.p.5856,Isaiah,Hartenstein,1628392.0
410.p.5857,Damyean,Dotson,1628422.0
410.p.5858,Dillon,Brooks,1628415.0
410.p.5859,Sterling,Brown,1628425.0
410.p.5861,Sindarius,Thornwell,1628414.0
410.p.5862,Vlatko,Cancar,1628427.0
410.p.5864,Monte,Morris,1628420.0
410.p.5865,Edmond,Sumner,1628410.0
410.p.5874,Mike,James,2229.0
410.p.5880,Daniel,Theis,1628464.0
410.p.5886,PJ,Dozier,1628408.0
410.p.5892,Maxi,Kleber,1628467.0
410.p.5893,Torrey,Craig,1628470.0
410.p.5894,Chris,Boucher,1628449.0
410.p.5895,Cameron,Oliver,1628419.0
410.p.5899,Derrick,Walton Jr.,1628476.0
410.p.5903,Luke,Kornet,1628436.0
410.p.5904,Alfonzo,McKinnie,1628035.0
410.p.5905,Royce,O'Neale,1626220.0
410.p.5932,Amida,Brimah,1628578.0
410.p.5954,Jaylen,Morris,1628537.0
410.p.5958,Deandre,Ayton,1629028.0
410.p.5959,Marvin,Bagley III,1628963.0
410.p.6014,Luka,Doncic,1629029.0
410.p.6015,Jaren,Jackson Jr.,1628991.0
410.p.6016,Trae,Young,1629027.0
410.p.6017,Mo,Bamba,1628964.0
410.p.6018,Wendell,Carter Jr.,1628976.0
410.p.6019,Collin,Sexton,1629012.0
410.p.6020,Kevin,Knox II,1628995.0
410.p.6021,Mikal,Bridges,1628969.0
410.p.6022,Shai,Gilgeous-Alexander,1628983.0
410.p.6023,Miles,Bridges,1628970.0
410.p.6024,Jerome,Robinson,1629010.0
410.p.6025,Michael,Porter Jr.,1629008.0
410.p.6026,Troy,Brown Jr.,1628972.0
410.p.6028,Donte,DiVincenzo,1628978.0
410.p.6029,Lonnie,Walker IV,1629022.0
410.p.6030,Kevin,Huerter,1628989.0
410.p.6031,Josh,Okogie,1629006.0
410.p.6032,Grayson,Allen,1628960.0
410.p.6033,Chandler,Hutchison,1628990.0
410.p.6034,Aaron,Holiday,1628988.0
410.p.6035,Anfernee,Simons,1629014.0
410.p.6036,Moritz,Wagner,1629021.0
410.p.6037,Landry,Shamet,1629013.0
410.p.6038,Robert,Williams,1629057.0
410.p.6043,Jevon,Carter,1628975.0
410.p.6044,Jalen,Brunson,1628973.0
410.p.6045,Devonte',Graham,1628984.0
410.p.6046,Melvin,Frazier Jr.,1628982.0
410.p.6047,Mitchell,Robinson,1629011.0
410.p.6048,Gary,Trent Jr.,1629018.0
410.p.6049,Khyri,Thomas,1629017.0
410.p.6050,Isaac,Bonga,1629067.0
410.p.6052,Jarred,Vanderbilt,1629020.0
410.p.6053,Bruce,Brown,1628971.0
410.p.6056,Hamidou,Diallo,1628977.0
410.p.6057,De'Anthony,Melton,1629001.0
410.p.6058,Svi,Mykhailiuk,1629004.0
410.p.6059,Keita,Bates-Diop,1628966.0
410.p.6060,Chimezie,Metu,1629002.0
410.p.6061,Alize,Johnson,1628993.0
410.p.6065,Shake,Milton,1629003.0
410.p.6066,Arnoldas,Kulboka,1629083.0
410.p.6067,Ray,Spalding,1629034.0
410.p.6070,George,King,77268.0
410.p.6071,Kostas,Antetokounmpo,1628961.0
410.p.6072,Deonte,Burton,1629126.0
410.p.6073,Duncan,Robinson,1629130.0
410.p.6076,Kenrich,Williams,1629026.0
